file, #m, log2(#m)
r75k3q0.6/194.4.cnf, 20017390560, 34.22053486752742
r75k3q0.6/34.2.cnf, 488995689138405507072, 68.72838364454836
r75k3q0.6/67.1.cnf, 2397920357699100672, 61.05648945118645
r75k3q0.6/87.1.cnf, 457157256431822848, 58.66546813296172
r75k3q0.6/68.5.cnf, 3774575920392437760, 61.711020272432805
r75k3q0.6/158.2.cnf, 8605625231614, 42.968417152038825
r75k3q0.6/60.3.cnf, 11407372216331542528, 63.306600295881026
r75k3q0.6/70.4.cnf, 1251099450530798848, 60.1179021825961
r75k3q0.6/12.2.cnf, 8063708080655801778176, 72.77193340451147
r75k3q0.6/31.4.cnf, 738370850828706643968, 69.32290749759585
r75k3q0.6/107.2.cnf, 10866713372689712, 53.270765182767626
r75k3q0.6/107.5.cnf, 20397154767675264, 54.179217440549245
r75k3q0.6/263.2.cnf, 352092307, 28.39137846464644
r75k3q0.6/153.3.cnf, 18573381031344, 44.07830169572115
r75k3q0.6/6.2.cnf, 16608987195366237536256, 73.81438218895157
r75k3q0.6/89.4.cnf, 220317553943621952, 57.61236206036405
r75k3q0.6/8.3.cnf, 12716255821452275613696, 73.42909203306678
r75k3q0.6/137.5.cnf, 71551910946414, 46.02405553125075
r75k3q0.6/239.1.cnf, 565403978, 29.074706792640615
r75k3q0.6/217.2.cnf, 54092554, 25.688926680692543
r75k3q0.6/106.3.cnf, 17276978576186818, 53.93970045709483
r75k3q0.6/102.5.cnf, 95040275087615647, 56.39938853012524
r75k3q0.6/79.5.cnf, 492486656341297152, 58.77286224914447
r75k3q0.6/212.5.cnf, 3611118944, 31.74979879492992
r75k3q0.6/233.2.cnf, 601451710, 29.163873668503197
r75k3q0.6/287.5.cnf, 121, 6.918863237274595
r75k3q0.6/189.1.cnf, 69678567458, 36.01999591232699
r75k3q0.6/57.1.cnf, 12630594216342323200, 63.45355631631666
r75k3q0.6/102.4.cnf, 39931986965658176, 55.148394378653144
r75k3q0.6/229.2.cnf, 997158030, 29.89324692072383
r75k3q0.6/34.4.cnf, 437836767330041856000, 68.56895500762808
r75k3q0.6/238.4.cnf, 477039490, 28.829533458598004
r75k3q0.6/7.3.cnf, 14186843229375327895552, 73.5869716928485
r75k3q0.6/49.4.cnf, 48792236294833963008, 65.40328541068891
r75k3q0.6/42.5.cnf, 170167547454585569280, 67.20551782554391
r75k3q0.6/102.1.cnf, 40192558293496368, 55.157777927390306
r75k3q0.6/309.3.cnf, 6322, 12.626165319904498
r75k3q0.6/178.4.cnf, 5476427988264, 42.31637233769449
r75k3q0.6/188.5.cnf, 88646180163, 36.36733941441802
r75k3q0.6/272.5.cnf, 458374, 18.806165687958178
r75k3q0.6/134.2.cnf, 603484091849592, 49.10030906972285
r75k3q0.6/29.2.cnf, 901618981690304102400, 69.6110797864852
r75k3q0.6/105.1.cnf, 56237209771453840, 55.642374534572205
r75k3q0.6/293.2.cnf, 13488, 13.719388820942083
r75k3q0.6/192.4.cnf, 120055561163, 36.80491127678753
r75k3q0.6/109.2.cnf, 31793842101687508, 54.81959688654909
r75k3q0.6/220.5.cnf, 399600328, 28.57398252642287
r75k3q0.6/33.5.cnf, 369622476034286813184, 68.32461438468872
r75k3q0.6/292.3.cnf, 107420, 16.712903101042897
r75k3q0.6/244.2.cnf, 108602980, 26.69448844946251
r75k3q0.6/267.5.cnf, 891430, 19.765761988363526
r75k3q0.6/43.1.cnf, 88614805363093667840, 66.26418156077652
r75k3q0.6/196.4.cnf, 1166086060, 30.119027120872452
r75k3q0.6/155.2.cnf, 40659633498283, 45.20866244447358
r75k3q0.6/157.3.cnf, 15527201604988, 43.81986307650046
r75k3q0.6/157.1.cnf, 33227211958192, 44.917430477428205
r75k3q0.6/12.4.cnf, 7173747817641444114432, 72.60321702303838
r75k3q0.6/44.3.cnf, 118538027746625323008, 66.68391185678996
r75k3q0.6/93.2.cnf, 176932726330382296, 57.295978533627974
r75k3q0.6/80.1.cnf, 461921349413487168, 58.68042484033114
r75k3q0.6/221.5.cnf, 17026947411, 33.98710076088604
r75k3q0.6/256.3.cnf, 476126997, 28.826771192937038
r75k3q0.6/149.3.cnf, 264015157209256, 47.907614086048135
r75k3q0.6/37.2.cnf, 277511678015626543104, 67.91111038078022
r75k3q0.6/230.3.cnf, 212617320, 27.66368388400333
r75k3q0.6/135.4.cnf, 657268949327034, 49.22347715934179
r75k3q0.6/152.4.cnf, 52629876739857, 45.58094724955193
r75k3q0.6/73.5.cnf, 3920173286664642000, 61.765623136365605
r75k3q0.6/184.3.cnf, 31970375576, 34.896016641332686
r75k3q0.6/26.5.cnf, 1442282506847413862400, 70.28884377254532
r75k3q0.6/161.2.cnf, 73060864675840, 46.05416406164249
r75k3q0.6/148.3.cnf, 67113959924536, 45.93167811649127
r75k3q0.6/114.2.cnf, 7922013152414096, 52.814788519769685
r75k3q0.6/317.1.cnf, 32240, 14.97656412341533
r75k3q0.6/93.5.cnf, 223668617960373284, 57.634140464971914
r75k3q0.6/180.2.cnf, 3922550990102, 41.834929339873376
r75k3q0.6/19.5.cnf, 3084485915675405058048, 71.38552005130971
r75k3q0.6/193.4.cnf, 131871242346, 36.94033902875785
r75k3q0.6/141.3.cnf, 68109153500867, 45.95291393519273
r75k3q0.6/21.5.cnf, 2263946232952139022336, 70.93932968827154
r75k3q0.6/212.1.cnf, 8691633407, 33.01698018024769
r75k3q0.6/280.4.cnf, 52, 5.700439718141092
r75k3q0.6/305.1.cnf, 8371, 13.031184262140842
r75k3q0.6/229.4.cnf, 2557780466, 31.252245297171893
r75k3q0.6/135.5.cnf, 226744801165462, 47.68806280125497
r75k3q0.6/201.4.cnf, 17280041648, 34.00838764353303
r75k3q0.6/223.2.cnf, 805517948, 29.585341493533065
r75k3q0.6/66.5.cnf, 2793027103173172224, 61.276535281384085
r75k3q0.6/288.3.cnf, 18365, 14.16467127561902
r75k3q0.6/314.5.cnf, 242332, 17.88662540003929
r75k3q0.6/89.5.cnf, 218065863950737632, 57.597541561131585
r75k3q0.6/267.3.cnf, 90126, 16.459655741526067
r75k3q0.6/228.2.cnf, 6223295906, 32.535031699274604
r75k3q0.6/78.2.cnf, 721067839674757120, 59.32291261091214
r75k3q0.6/197.4.cnf, 1639405486, 30.610525584744657
r75k3q0.6/204.5.cnf, 5589738854, 32.38013373762006
r75k3q0.6/262.3.cnf, 498096, 18.92606429981524
r75k3q0.6/133.3.cnf, 510588075990776, 48.85915317460946
r75k3q0.6/206.1.cnf, 1398061100, 30.380780266731637
r75k3q0.6/199.1.cnf, 450498586377, 38.71273162276297
r75k3q0.6/6.5.cnf, 16955007761936367484928, 73.84412953234562
r75k3q0.6/130.1.cnf, 2712648007802724, 51.2686232795026
r75k3q0.6/169.2.cnf, 1404731390765, 40.35343142691709
r75k3q0.6/56.3.cnf, 21499940740484161536, 64.22096648623149
r75k3q0.6/81.4.cnf, 953599559302171520, 59.72616118215629
r75k3q0.6/111.2.cnf, 23009864963287670, 54.35310203512065
r75k3q0.6/207.5.cnf, 3112041397, 31.53521410545734
r75k3q0.6/48.2.cnf, 65059154058196221952, 65.81838586649347
r75k3q0.6/52.2.cnf, 54803458550143844352, 65.57090074487223
r75k3q0.6/234.2.cnf, 15199079, 23.85748056930215
r75k3q0.6/210.5.cnf, 1430182586, 30.413552196165703
r75k3q0.6/95.4.cnf, 161707662287972800, 57.16616565357242
r75k3q0.6/105.2.cnf, 9369861221340292, 53.05694910334358
r75k3q0.6/27.2.cnf, 1137531878005486387200, 69.94639696836002
r75k3q0.6/139.5.cnf, 334723826642524, 48.24996457844823
r75k3q0.6/315.2.cnf, 15952, 13.961449694398196
r75k3q0.6/213.3.cnf, 222652020, 27.730215459722128
r75k3q0.6/234.4.cnf, 3059544818, 31.510669886753558
r75k3q0.6/300.2.cnf, 896, 9.807354922057604
r75k3q0.6/258.3.cnf, 584874552, 29.12355197761481
r75k3q0.6/55.1.cnf, 24807762114808643584, 64.42742539977958
r75k3q0.6/292.2.cnf, 174384, 17.41190815113664
r75k3q0.6/236.3.cnf, 195244734, 27.540708396661863
r75k3q0.6/154.4.cnf, 103607415077716, 46.5581205873648
r75k3q0.6/243.3.cnf, 20606470, 24.29659404877458
r75k3q0.6/22.3.cnf, 2424844988872308817920, 71.03838251686919
r75k3q0.6/260.4.cnf, 150260, 17.19710148181475
r75k3q0.6/220.2.cnf, 892760852, 29.733698524769864
r75k3q0.6/27.3.cnf, 1110147070501710725120, 69.9112408077941
r75k3q0.6/28.3.cnf, 885569382072339922944, 69.58516724058035
r75k3q0.6/103.4.cnf, 13463319907828780, 53.579883724875515
r75k3q0.6/241.5.cnf, 131136668, 26.96649590266852
r75k3q0.6/130.3.cnf, 2735809046322474, 51.280888959989795
r75k3q0.6/107.4.cnf, 6662802737586830, 52.565050604366874
r75k3q0.6/105.4.cnf, 7539247199214528, 52.74334189956561
r75k3q0.6/138.1.cnf, 159643298294052, 47.18184531934629
r75k3q0.6/123.5.cnf, 2476635350795007, 51.13730289127844
r75k3q0.6/2.1.cnf, 28924494707576576933888, 74.61470984411521
r75k3q0.6/236.1.cnf, 409767014, 28.610228612032735
r75k3q0.6/34.3.cnf, 428061969108015513600, 68.53638156365697
r75k3q0.6/120.3.cnf, 6243232899368360, 52.471214708822366
r75k3q0.6/194.1.cnf, 136202736235, 36.986964730319585
r75k3q0.6/253.4.cnf, 102603806, 26.612509006569056
r75k3q0.6/306.2.cnf, 264690, 18.01394416521674
r75k3q0.6/90.2.cnf, 301281227844559296, 58.06388839773586
r75k3q0.6/163.3.cnf, 2626126478389, 41.256073539018715
r75k3q0.6/72.1.cnf, 1944735262570515456, 60.75427948201588
r75k3q0.6/100.1.cnf, 40589595792647712, 55.171959491373435
r75k3q0.6/34.1.cnf, 402866958313193472000, 68.44886538347087
r75k3q0.6/6.4.cnf, 16955007761936367484928, 73.84412953234562
r75k3q0.6/31.3.cnf, 767141019690446356480, 69.37805370325574
r75k3q0.6/238.1.cnf, 294261199, 28.132522081531054
r75k3q0.6/117.5.cnf, 5353193162357440, 52.24932113450011
r75k3q0.6/193.5.cnf, 537955404859, 38.96869562573361
r75k3q0.6/26.1.cnf, 979034431167374819328, 69.72992149588157
r75k3q0.6/37.5.cnf, 212588937353782886400, 67.52662842199119
r75k3q0.6/129.4.cnf, 1299590442795402, 50.20697846253185
r75k3q0.6/326.3.cnf, 608, 9.247927513443585
r75k3q0.6/119.3.cnf, 1879062335929376, 50.73893435076264
r75k3q0.6/158.5.cnf, 6898115383787, 42.649339399402045
r75k3q0.6/224.5.cnf, 1589108346, 30.5655703455123
r75k3q0.6/198.1.cnf, 113863541232, 36.728514918077465
r75k3q0.6/65.4.cnf, 3407591150265738240, 61.56345795642709
r75k3q0.6/190.4.cnf, 1556382364480, 40.50133367684649
r75k3q0.6/86.4.cnf, 814269812778149456, 59.49828453172725
r75k3q0.6/144.1.cnf, 29478278832662, 44.74471752485901
r75k3q0.6/55.2.cnf, 24829248877553516544, 64.4286744213211
r75k3q0.6/86.1.cnf, 261894404826495072, 57.8617628510276
r75k3q0.6/114.1.cnf, 3658666395856718, 51.70023929731351
r75k3q0.6/57.3.cnf, 16564989831997169664, 63.84477112071698
r75k3q0.6/47.2.cnf, 76826473050570227712, 66.05823732679825
r75k3q0.6/20.5.cnf, 2952657543815428571136, 71.32250403163637
r75k3q0.6/34.5.cnf, 395549686748543975424, 68.42242082714401
r75k3q0.6/17.3.cnf, 4362216065982686822400, 71.88555122286127
r75k3q0.6/195.4.cnf, 173151902016, 37.333247278907905
r75k3q0.6/129.1.cnf, 2564896874116264, 51.18782224438956
r75k3q0.6/266.3.cnf, 219261, 17.742289696798334
r75k3q0.6/154.2.cnf, 26232224275870, 44.57640537494406
r75k3q0.6/177.5.cnf, 567674206180, 39.04627223409385
r75k3q0.6/53.2.cnf, 18529743099174584320, 64.00647668249186
r75k3q0.6/223.1.cnf, 8897321532, 33.05072394353859
r75k3q0.6/293.1.cnf, 905919, 19.789022536272977
r75k3q0.6/233.5.cnf, 18041849738, 34.07062820714738
r75k3q0.6/113.2.cnf, 7469811333228074, 52.72999322829904
r75k3q0.6/260.2.cnf, 93898, 16.51880680877237
r75k3q0.6/88.5.cnf, 376847107641267264, 58.38675693289915
r75k3q0.6/308.3.cnf, 348, 8.442943495848729
r75k3q0.6/100.4.cnf, 49066434460336000, 55.44558595623758
r75k3q0.6/285.5.cnf, 373984, 18.51261702365554
r75k3q0.6/171.5.cnf, 1448585916402, 40.39778239280531
r75k3q0.6/363.1.cnf, 84, 6.392317422778761
r75k3q0.6/176.5.cnf, 191865119849, 37.48130150414946
r75k3q0.6/220.3.cnf, 2549895552, 31.247791007071267
r75k3q0.6/10.1.cnf, 10885650659317225881600, 73.20484573068572
r75k3q0.6/162.5.cnf, 5353921773253, 42.2837331984032
r75k3q0.6/125.1.cnf, 2460911648248272, 51.128114286339276
r75k3q0.6/62.1.cnf, 5013864115399852032, 62.12062860508269
r75k3q0.6/299.1.cnf, 1824, 10.832890014164741
r75k3q0.6/214.5.cnf, 21987002036, 34.35593185262755
r75k3q0.6/202.2.cnf, 234251857698, 37.76926953275992
r75k3q0.6/154.1.cnf, 25912481542598, 44.558712417242354
r75k3q0.6/77.3.cnf, 645158947293486144, 59.16243225303499
r75k3q0.6/146.3.cnf, 17454155226878, 43.988635766336614
r75k3q0.6/153.2.cnf, 65220608982576, 45.89039314552121
r75k3q0.6/87.5.cnf, 241665145584883320, 57.74578702695067
r75k3q0.6/186.2.cnf, 1212209177695, 40.14077580906345
r75k3q0.6/8.1.cnf, 12832016346274206842880, 73.44216597222932
r75k3q0.6/251.3.cnf, 1808913, 20.78669159227126
r75k3q0.6/86.2.cnf, 461738033464129280, 58.67985218547714
r75k3q0.6/87.2.cnf, 158075124600669696, 57.1333879697832
r75k3q0.6/177.1.cnf, 1185202530010, 40.10827074973364
r75k3q0.6/9.1.cnf, 10899647846959093383168, 73.20669961173033
r75k3q0.6/246.3.cnf, 21999233, 24.390949889489384
r75k3q0.6/94.3.cnf, 280975459761467040, 57.96322174486063
r75k3q0.6/38.2.cnf, 203399930861102039040, 67.46288108654757
r75k3q0.6/43.5.cnf, 111627212092769894400, 66.59725066295844
r75k3q0.6/224.4.cnf, 481462661, 28.842848675799143
r75k3q0.6/136.3.cnf, 4003672296202246, 51.83024531656727
r75k3q0.6/21.4.cnf, 2014989468797969104896, 70.77126229126247
r75k3q0.6/200.1.cnf, 9599455024, 33.16030535810234
r75k3q0.6/137.3.cnf, 339698563297166, 48.271248444996274
r75k3q0.6/347.2.cnf, 5224, 12.350939181546432
r75k3q0.6/24.4.cnf, 1548359504670417223680, 70.39123047405795
r75k3q0.6/17.4.cnf, 3485143820872282275840, 71.56170818542212
r75k3q0.6/312.5.cnf, 158856, 17.277360056189643
r75k3q0.6/25.5.cnf, 1137556837528516952064, 69.94642862337184
r75k3q0.6/77.4.cnf, 2663013105210839040, 61.20776523632434
r75k3q0.6/113.4.cnf, 19574933850475032, 54.11985695042661
r75k3q0.6/257.5.cnf, 13326931, 23.667841251026182
r75k3q0.6/88.3.cnf, 90941156879467584, 56.33578287519046
r75k3q0.6/142.4.cnf, 40982739651996, 45.220081663717856
r75k3q0.6/161.3.cnf, 1266592324876, 40.2040893809464
r75k3q0.6/40.1.cnf, 129075348215625154560, 66.80677538791143
r75k3q0.6/246.1.cnf, 47872, 15.546894459887637
r75k3q0.6/9.2.cnf, 11580875837394036719616, 73.29416245298067
r75k3q0.6/323.5.cnf, 3182, 11.635718120331047
r75k3q0.6/256.2.cnf, 15005272, 23.838966135063398
r75k3q0.6/252.2.cnf, 18911504, 24.172760767163854
r75k3q0.6/37.4.cnf, 283275012999871463424, 67.9407652484537
r75k3q0.6/103.2.cnf, 54485775745381280, 55.59672916203152
r75k3q0.6/151.3.cnf, 29711766755750, 44.75609962847595
r75k3q0.6/33.1.cnf, 401774074840278368256, 68.44494637245545
r75k3q0.6/302.3.cnf, 109440, 16.73978060977326
r75k3q0.6/180.5.cnf, 503132235952, 38.87214667059013
r75k3q0.6/246.4.cnf, 15066, 13.879008813992655
r75k3q0.6/232.3.cnf, 25589626, 24.60905572632558
r75k3q0.6/221.2.cnf, 913935296, 29.7675167893229
r75k3q0.6/122.5.cnf, 3262974801381136, 51.53510926943992
r75k3q0.6/242.4.cnf, 72626891, 26.11400048693945
r75k3q0.6/58.5.cnf, 17848377224476065792, 63.95242671315755
r75k3q0.6/27.5.cnf, 998848029115023360000, 69.75882709196102
r75k3q0.6/230.1.cnf, 99072428, 26.56198027336609
r75k3q0.6/102.3.cnf, 55998610206579200, 55.63624054049381
r75k3q0.6/277.1.cnf, 189535, 17.5321047590545
r75k3q0.6/185.2.cnf, 851549656736, 39.631299704537334
r75k3q0.6/119.2.cnf, 1474375437358988, 50.38902536473655
r75k3q0.6/138.3.cnf, 45904996631440, 45.38371642907167
r75k3q0.6/230.5.cnf, 374575463, 28.4806811563637
r75k3q0.6/204.2.cnf, 2495208993, 31.216513511447516
r75k3q0.6/11.3.cnf, 9515565580678573588480, 73.01077940175507
r75k3q0.6/102.2.cnf, 25933993606673692, 54.525693903830046
r75k3q0.6/32.2.cnf, 483268255695954247680, 68.7113861297276
r75k3q0.6/236.4.cnf, 863687496, 29.685934162314812
r75k3q0.6/149.2.cnf, 184983358057126, 47.39438881360567
r75k3q0.6/220.1.cnf, 1081789824, 30.01077308575117
r75k3q0.6/13.3.cnf, 6429958072982883532800, 72.4452993230188
r75k3q0.6/284.5.cnf, 403437, 18.621983876852383
r75k3q0.6/155.1.cnf, 65694075642506, 45.900828506266635
r75k3q0.6/42.4.cnf, 201139967429027020800, 67.44676167796108
r75k3q0.6/32.1.cnf, 519620725022461526016, 68.81602087143304
r75k3q0.6/194.2.cnf, 5873993772, 32.45169459000832
r75k3q0.6/238.3.cnf, 355184, 18.43820706839803
r75k3q0.6/164.3.cnf, 3705303671427, 41.752728923368025
r75k3q0.6/30.2.cnf, 774019411548278095872, 69.39093164576198
r75k3q0.6/242.3.cnf, 1085378, 20.04976614079856
r75k3q0.6/47.4.cnf, 96249652473055150080, 66.38341513445032
r75k3q0.6/80.3.cnf, 1063001407309668512, 59.882849214829626
r75k3q0.6/251.5.cnf, 364251573, 28.440359961599803
r75k3q0.6/253.5.cnf, 6319180, 22.5913059304661
r75k3q0.6/108.3.cnf, 35736073893726024, 54.9882306611059
r75k3q0.6/77.1.cnf, 1339149569483610112, 60.21602281210108
r75k3q0.6/130.5.cnf, 1043239905210672, 49.889992383908904
r75k3q0.6/98.5.cnf, 18658354866435584, 54.05067130553077
r75k3q0.6/204.1.cnf, 3611985137, 31.750144810254504
r75k3q0.6/245.5.cnf, 6305246, 22.588121227912033
r75k3q0.6/218.2.cnf, 4391526809, 32.032075465003565
r75k3q0.6/243.5.cnf, 1435744, 20.45336710201219
r75k3q0.6/129.3.cnf, 1827618661240942, 50.69888650195122
r75k3q0.6/153.4.cnf, 23442842288768, 44.414212731082465
r75k3q0.6/112.1.cnf, 12245925910183792, 53.4431513778922
r75k3q0.6/167.3.cnf, 1507088676791, 40.45490144596415
r75k3q0.6/148.4.cnf, 52809246335816, 45.58585578575098
r75k3q0.6/151.2.cnf, 7594431721078, 42.78807915290092
r75k3q0.6/122.3.cnf, 2722485076401748, 51.27384556398441
r75k3q0.6/237.3.cnf, 366340108, 28.4486084193183
r75k3q0.6/36.3.cnf, 376745474525694525440, 68.35215207999224
r75k3q0.6/75.1.cnf, 1950219292857118208, 60.758342065244584
r75k3q0.6/57.5.cnf, 12944590078025662464, 63.4889830823688
r75k3q0.6/237.1.cnf, 5569972568, 32.375023076325746
r75k3q0.6/259.1.cnf, 768, 9.584962500721156
r75k3q0.6/91.3.cnf, 246462658508956336, 57.77414669390807
r75k3q0.6/147.1.cnf, 11461622111003, 43.381876470116765
r75k3q0.6/172.3.cnf, 315316224014, 38.19800844690106
r75k3q0.6/255.5.cnf, 34469420, 25.038813687600108
r75k3q0.6/250.2.cnf, 88062468, 26.39202394138967
r75k3q0.6/293.4.cnf, 597508, 19.188598503819843
