file, state, mem, time
r75k3q0.4c5/28.4.cnf, done, 30408, 0.032061
r75k3q0.4c5/51.2.cnf, done, 31354, 0.0405505
r75k3q0.4c5/38.2.cnf, done, 30408, 0.021312
r75k3q0.4c5/136.2.cnf, done, 401006, 11.6423
r75k3q0.4c5/59.5.cnf, done, 32169, 0.0574839
r75k3q0.4c5/69.3.cnf, done, 42442, 0.270339
r75k3q0.4c5/108.3.cnf, done, 153550, 3.25467
r75k3q0.4c5/79.1.cnf, done, 69476, 0.885351
r75k3q0.4c5/280.4.cnf, done, 30408, 0.0318728
r75k3q0.4c5/19.2.cnf, done, 30408, 0.0234307
r75k3q0.4c5/276.1.cnf, done, 30543, 0.0287189
r75k3q0.4c5/277.5.cnf, done, 33112, 0.0784643
r75k3q0.4c5/181.3.cnf, done, 230477, 6.021
r75k3q0.4c5/107.1.cnf, done, 194371, 4.52006
r75k3q0.4c5/259.5.cnf, done, 30683, 0.0339581
r75k3q0.4c5/185.3.cnf, done, 323768, 9.85866
r75k3q0.4c5/297.4.cnf, done, 30408, 0.0223331
r75k3q0.4c5/119.1.cnf, done, 285069, 7.74357
r75k3q0.4c5/266.4.cnf, done, 30814, 0.0392676
r75k3q0.4c5/307.5.cnf, done, 30543, 0.0255564
r75k3q0.4c5/247.3.cnf, done, 35004, 0.133501
r75k3q0.4c5/93.4.cnf, done, 120434, 2.30306
r75k3q0.4c5/321.2.cnf, done, 30547, 0.0477623
r75k3q0.4c5/33.5.cnf, done, 30408, 0.0297695
r75k3q0.4c5/43.3.cnf, done, 30543, 0.0307834
r75k3q0.4c5/163.3.cnf, done, 258306, 7.57919
r75k3q0.4c5/231.3.cnf, done, 38248, 0.37955
r75k3q0.4c5/168.2.cnf, done, 433119, 13.5662
r75k3q0.4c5/74.4.cnf, done, 43388, 0.323307
r75k3q0.4c5/117.2.cnf, done, 611008, 18.6451
r75k3q0.4c5/242.3.cnf, done, 38707, 0.273206
r75k3q0.4c5/84.2.cnf, done, 115163, 2.09511
r75k3q0.4c5/218.1.cnf, done, 42074, 0.390642
r75k3q0.4c5/259.2.cnf, done, 31354, 0.0499614
r75k3q0.4c5/173.4.cnf, done, 158683, 3.75579
