file, q
r75k3q0.3c8/1.1.cnf, 0
r75k3q0.3c8/2.4.cnf, 0.5
r75k3q0.3c8/7.3.cnf, 0.734694
r75k3q0.3c8/10.4.cnf, 0.711111
r75k3q0.3c8/14.5.cnf, 0.674603
r75k3q0.3c8/15.1.cnf, 0.810864
r75k3q0.3c8/19.3.cnf, 0.718067
r75k3q0.3c8/19.2.cnf, 0.727301
r75k3q0.3c8/20.2.cnf, 0.717222
r75k3q0.3c8/24.3.cnf, 0.655864
r75k3q0.3c8/28.5.cnf, 0.604308
r75k3q0.3c8/28.4.cnf, 0.712018
r75k3q0.3c8/29.1.cnf, 0.644603
r75k3q0.3c8/33.5.cnf, 0.546679
r75k3q0.3c8/38.3.cnf, 0.540474
r75k3q0.3c8/34.1.cnf, 0.652249
r75k3q0.3c8/38.2.cnf, 0.628501
r75k3q0.3c8/43.4.cnf, 0.569557
r75k3q0.3c8/43.3.cnf, 0.570999
r75k3q0.3c8/47.5.cnf, 0.609476
r75k3q0.3c8/48.1.cnf, 0.556424
r75k3q0.3c8/51.2.cnf, 0.50408
r75k3q0.3c8/51.3.cnf, 0.535264
r75k3q0.3c8/55.4.cnf, 0.492672
r75k3q0.3c8/61.1.cnf, 0.507301
r75k3q0.3c8/60.5.cnf, 0.48963
r75k3q0.3c8/24.4.cnf, 0.63233
r75k3q0.3c8/59.5.cnf, 0.487695
r75k3q0.3c8/69.4.cnf, 0.482018
r75k3q0.3c8/69.3.cnf, 0.469416
r75k3q0.3c8/74.4.cnf, 0.468306
r75k3q0.3c8/65.2.cnf, 0.473899
r75k3q0.3c8/70.3.cnf, 0.442268
r75k3q0.3c8/79.1.cnf, 0.443323
r75k3q0.3c8/15.2.cnf, 0.793086
r75k3q0.3c8/84.2.cnf, 0.446051
r75k3q0.3c8/108.3.cnf, 0.361099
r75k3q0.3c8/93.4.cnf, 0.397156
r75k3q0.3c8/80.1.cnf, 0.449653
r75k3q0.3c8/98.2.cnf, 0.349785
r75k3q0.3c8/79.2.cnf, 0.44959
r75k3q0.3c8/102.2.cnf, 0.398372
r75k3q0.3c8/88.4.cnf, 0.436955
r75k3q0.3c8/110.4.cnf, 0.356804
r75k3q0.3c8/93.5.cnf, 0.382934
r75k3q0.3c8/103.3.cnf, 0.414585
