file, Z, nbv, nbc
Benchmarks/V7/s27_7_4.cnf, 2.00000000, 2, 2
Benchmarks/V7/s27_new_7_4.cnf, 2.00000000, 2, 2
Benchmarks/V15/s27_15_7.cnf, 2.00000000, 2, 2
Benchmarks/Blasted_Real/blasted_case102.cnf, 0, 19, 38
Benchmarks/Blasted_Real/blasted_case128.cnf, 0, 28, 56
Benchmarks/FeatureModels/FM-3.6.1-refined.cnf, 0, 7, 14
Benchmarks/Blasted_Real/blasted_case206.cnf, 0, 7, 14
Benchmarks/V3/s27_new_3_2.cnf, 2.00000000, 2, 2
Benchmarks/Blasted_Real/blasted_case33.cnf, 0, 32, 64
Benchmarks/Blasted_Real/blasted_case127.cnf, 0, 28, 56
Benchmarks/Blasted_Real/blasted_case103.cnf, 0, 22, 44
Benchmarks/Blasted_Real/blasted_case200.cnf, 0, 7, 14
Benchmarks/Blasted_Real/blasted_case27.cnf, 0, 30, 60
Benchmarks/V15/s27_new_15_7.cnf, 2.00000000, 2, 2
Benchmarks/V3/s27_3_2.cnf, 2.00000000, 2, 2
Benchmarks/Blasted_Real/blasted_case28.cnf, 0, 32, 64
Benchmarks/tutorial1.sk_1_1.cnf, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case60.cnf, 1.00000000, 8, 15
Benchmarks/Blasted_Real/blasted_case31.cnf, 0, 35, 70
Benchmarks/Blasted_Real/blasted_case32.cnf, 0, 30, 60
Benchmarks/Blasted_Real/blasted_case134.cnf, 0, 7, 14
Benchmarks/Blasted_Real/blasted_case29.cnf, 0, 32, 64
Benchmarks/Blasted_Real/blasted_case36.cnf, 0, 30, 60
Benchmarks/Blasted_Real/blasted_case24.cnf, 0, 32, 64
Benchmarks/Blasted_Real/blasted_case26.cnf, 0, 35, 70
Benchmarks/Blasted_Real/blasted_case25.cnf, 0, 32, 64
Benchmarks/Blasted_Real/blasted_case30.cnf, 0, 32, 64
Benchmarks/Blasted_Real/blasted_case101.cnf, 0, 20, 40
Benchmarks/Blasted_Real/blasted_case17.cnf, 0, 48, 96
Benchmarks/Blasted_Real/blasted_case137.cnf, 0, 12, 24
Benchmarks/Blasted_Real/blasted_case59_1.cnf, 0, 26, 52
Benchmarks/Blasted_Real/blasted_case63.cnf, 0, 18, 36
Benchmarks/Blasted_Real/blasted_case100.cnf, 0, 20, 40
Benchmarks/Blasted_Real/blasted_case59.cnf, 0, 26, 52
Benchmarks/Blasted_Real/blasted_case4.cnf, 0, 34, 68
Benchmarks/Blasted_Real/blasted_case23.cnf, 0, 48, 96
Benchmarks/Blasted_Real/blasted_case11.cnf, 0, 36, 72
Benchmarks/Blasted_Real/blasted_case58.cnf, 0, 30, 60
Benchmarks/Blasted_Real/blasted_case64.cnf, 0, 34, 68
Benchmarks/Blasted_Real/blasted_case7.cnf, 0, 41, 82
Benchmarks/Blasted_Real/blasted_case43.cnf, 0, 31, 62
Benchmarks/Blasted_Real/blasted_case22.cnf, 0, 33, 66
Benchmarks/Blasted_Real/blasted_case45.cnf, 0, 31, 62
Benchmarks/Blasted_Real/blasted_case21.cnf, 0, 42, 84
Benchmarks/Blasted_Real/blasted_case47.cnf, 0, 57, 114
Benchmarks/Blasted_Real/blasted_case53.cnf, 0, 30, 60
Benchmarks/Blasted_Real/blasted_case52.cnf, 0, 30, 60
Benchmarks/Blasted_Real/blasted_case51.cnf, 0, 30, 60
Benchmarks/Blasted_Real/blasted_case124.cnf, 0, 24, 48
Benchmarks/Blasted_Real/blasted_case112.cnf, 0, 37, 74
Benchmarks/Blasted_Real/blasted_case8.cnf, 0, 27, 54
Benchmarks/Blasted_Real/blasted_case55.cnf, 0, 52, 104
